shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ1/19,007019,06:37:00,06:45:00,GARAGE,11:24:00,39A-BWALK,12:28:00,12:28:00,39A-ASTONQ,15:15:00,39A-BWALK,15:35:00,08:58:00,07:54:00,01:04:00
PZ1/20,007020,06:37:00,06:45:00,GARAGE,10:50:00,39-ASTONQ,11:45:00,11:45:00,C1/C2-BWALK,15:14:00,C1/C2-BWALK,15:34:00,08:57:00,08:02:00,00:55:00
PZ1/21,007021,06:37:00,06:45:00,GARAGE,09:35:00,39-ASTONQ,10:40:00,10:40:00,39-ASTONQ,14:55:00,39-ASTONQ,15:15:00,08:38:00,07:33:00,01:05:00
PZ1/22,007022,07:02:00,07:10:00,GARAGE,09:47:00,39A-ASTONQ,10:50:00,10:50:00,39-ASTONQ,15:25:00,39-ASTONQ,15:45:00,08:43:00,07:40:00,01:03:00
PZ1/23,007023,07:04:00,07:12:00,GARAGE,10:10:00,39-ASTONQ,11:05:00,11:05:00,39-BWALK,15:25:00,39-BWALK,15:45:00,08:41:00,07:46:00,00:55:00
PZ1/24,007024,07:31:00,07:39:00,GARAGE,11:44:00,C1/C2-ASTONQ,12:44:00,12:44:00,C1/C2-BWALK,16:09:00,C1/C2-BWALK,16:29:00,08:58:00,07:58:00,01:00:00
PZ1/25,007025,07:32:00,07:40:00,GARAGE,Workout,nan,nan,nan,nan,12:51:00,39A-BWALK,13:11:00,05:39:00,05:39:00,00:00:00
PZ1/26,007026,07:37:00,07:45:00,GARAGE,11:05:00,39-BWALK,12:04:00,12:04:00,39A-ASTONQ,16:06:00,39A-ASTONQ,16:26:00,08:49:00,07:50:00,00:59:00
PZ1/27,007027,07:38:00,08:01:00,C1/C2-ASTONQ,Workout,nan,nan,nan,nan,13:14:00,C1/C2-BWALK,13:34:00,05:56:00,05:56:00,00:00:00
PZ1/28,007028,07:42:00,08:05:00,39-ASTONQ,11:25:00,39-ASTONQ,12:37:00,12:37:00,C1/C2-ASTONQ,16:07:00,C1/C2-ASTONQ,16:27:00,08:45:00,07:33:00,01:12:00
PZ1/29,007029,07:45:00,07:53:00,GARAGE,12:44:00,C1/C2-BWALK,13:57:00,14:20:00,GARAGE,16:10:00,39A-BWALK,16:30:00,08:45:00,07:32:00,01:13:00
PZ1/30,007030,10:30:00,10:53:00,39A-BWALK,15:03:00,39A-BWALK,16:06:00,16:06:00,39A-ASTONQ,20:10:00,GARAGE,20:10:00,09:40:00,08:37:00,01:03:00
PZ1/31,007031,10:42:00,10:50:00,GARAGE,15:19:00,C1/C2-ASTONQ,17:06:00,17:06:00,C1/C2-ASTONQ,20:36:00,GARAGE,20:36:00,09:54:00,08:07:00,01:47:00
PZ1/32,007032,11:01:00,11:24:00,39A-BWALK,15:39:00,39A-BWALK,17:23:00,17:23:00,39A-BWALK,21:00:00,GARAGE,21:00:00,09:59:00,08:15:00,01:44:00
PZ1/33,007033,11:02:00,11:25:00,39-ASTONQ,15:50:00,39-ASTONQ,17:25:00,17:25:00,39-ASTONQ,20:33:00,39-BWALK,20:53:00,09:51:00,08:16:00,01:35:00
PZ1/34,007034,11:05:00,11:28:00,39A-ASTONQ,15:23:00,39A-ASTONQ,16:23:00,16:23:00,39A-ASTONQ,20:47:00,GARAGE,20:47:00,09:42:00,08:42:00,01:00:00
PZ1/35,007035,11:21:00,11:44:00,C1/C2-ASTONQ,14:59:00,C1/C2-ASTONQ,16:35:00,16:35:00,39-BWALK,20:53:00,39-BWALK,21:13:00,09:52:00,08:16:00,01:36:00
PZ1/36,007036,11:29:00,11:52:00,39A-ASTONQ,15:57:00,39A-ASTONQ,17:46:00,17:46:00,39A-BWALK,21:15:00,GARAGE,21:15:00,09:46:00,07:57:00,01:49:00
PZ1/37,007037,11:30:00,11:38:00,GARAGE,14:59:00,39A-ASTONQ,16:55:00,16:55:00,39-ASTONQ,21:25:00,GARAGE,21:25:00,09:55:00,07:59:00,01:56:00
PZ1/38,007038,11:38:00,12:01:00,C1/C2--BWALK,16:45:00,C1/C2-ASTONQ,17:40:00,17:40:00,39-BWALK,20:50:00,GARAGE,20:50:00,09:12:00,08:17:00,00:55:00
PZ1/39,007039,11:37:00,11:45:00,GARAGE,16:15:00,39-BWALK,17:28:00,17:28:00,39A-ASTONQ,21:15:00,39A-ASTONQ,21:35:00,09:58:00,08:45:00,01:13:00
PZ1/40,007040,11:42:00,12:05:00,39-BWALK,16:35:00,39-BWALK,18:04:00,18:04:00,39A-ASTONQ,20:35:00,39A-BWALK,20:55:00,09:13:00,07:44:00,01:29:00
PZ1/41,007041,12:00:00,12:08:00,GARAGE,16:17:00,39A-BWALK,17:37:00,17:37:00,39A-BWALK,21:20:00,39A-BWALK,21:40:00,09:40:00,08:20:00,01:20:00
PZ1/42,007042,12:02:00,12:25:00,39-ASTONQ,16:55:00,39-ASTONQ,17:58:00,17:58:00,39A-BWALK,21:35:00,39A-BWALK,21:55:00,09:53:00,08:50:00,01:03:00
PZ1/43,007043,12:12:00,12:35:00,39-BWALK,17:10:00,39-BWALK,18:07:00,18:07:00,C1/C2-ASTONQ,21:30:00,GARAGE,21:30:00,09:18:00,08:21:00,00:57:00
PZ1/44,007044,12:28:00,12:51:00,39A-BWALK,17:23:00,39A-BWALK,18:18:00,18:18:00,39A-ASTONQ,20:45:00,39A-BWALK,21:05:00,08:37:00,07:42:00,00:55:00
PZ1/45,007045,12:36:00,12:44:00,GARAGE,16:04:00,39A-ASTONQ,17:16:00,17:16:00,39A-ASTONQ,21:33:00,GARAGE,21:33:00,08:57:00,07:45:00,01:12:00
PZ1/46,007046,12:41:00,13:04:00,39A-ASTONQ,17:16:00,39A-ASTONQ,18:17:00,18:17:00,39A-BWALK,22:05:00,39A-BWALK,22:25:00,09:44:00,08:43:00,01:01:00
PZ1/47,007047,12:45:00,13:08:00,39A-BWALK,17:37:00,39A-BWALK,18:45:00,18:45:00,39A-ASTONQ,21:15:00,39A-BWALK,21:35:00,08:50:00,07:42:00,01:08:00
PZ1/48,007048,12:52:00,13:15:00,39A-BWALK,17:34:00,39A-BWALK,18:32:00,18:32:00,C1/C2-ASTONQ,21:46:00,C1/C2-ASTONQ,22:06:00,09:14:00,08:16:00,00:58:00
PZ1/49,007049,12:53:00,13:16:00,39A-ASTONQ,17:28:00,39A-ASTONQ,18:25:00,18:25:00,39-ASTONQ,21:23:00,39-BWALK,21:43:00,08:50:00,07:53:00,00:57:00
PZ1/50,007050,13:22:00,13:45:00,39A-ASTONQ,16:29:00,39A-BWALK,17:40:00,17:40:00,C1/C2-BWALK,22:22:00,GARAGE,22:22:00,09:00:00,07:49:00,01:11:00
PZ1/51,007051,14:36:00,14:59:00,C1/C2-ASTONQ,18:32:00,C1/C2-ASTONQ,20:03:00,20:03:00,C1/C2-ASTONQ,00:35:00,GARAGE,00:35:00,09:59:00,08:28:00,01:31:00
PZ1/52,007052,14:36:00,14:59:00,39A-ASTONQ,17:58:00,39A-BWALK,19:29:00,19:29:00,39A-BWALK,00:10:00,GARAGE,00:10:00,09:34:00,08:03:00,01:31:00
PZ1/53,007053,14:40:00,15:03:00,39A-BWALK,16:23:00,39A-ASTONQ,18:10:00,18:10:00,39A-BWALK,23:20:00,GARAGE,23:20:00,08:40:00,06:53:00,01:47:00
PZ1/54,007054,14:51:00,15:14:00,C1/C2-BWALK,20:03:00,C1/C2-ASTONQ,21:46:00,21:46:00,C1/C2-ASTONQ,00:50:00,GARAGE,00:50:00,09:59:00,08:16:00,01:43:00
PZ1/55,007055,14:56:00,15:19:00,C1/C2-ASTONQ,18:45:00,C1/C2-ASTONQ,19:42:00,19:42:00,C1/C2-BWALK,23:55:00,GARAGE,23:55:00,08:59:00,08:02:00,00:57:00
PZ1/56,007056,14:58:00,15:21:00,39A-ASTONQ,18:10:00,39A-BWALK,19:27:00,19:27:00,C1/C2-BWALK,23:45:00,GARAGE,23:45:00,08:47:00,07:30:00,01:17:00
PZ1/57,007057,15:00:00,15:23:00,39A-ASTONQ,18:17:00,39A-BWALK,19:38:00,19:38:00,C1/C2-ASTONQ,00:00:00,GARAGE,00:00:00,09:00:00,07:39:00,01:21:00
PZ1/58,007058,15:02:00,15:25:00,39-ASTONQ,19:55:00,39-ASTONQ,21:23:00,21:23:00,39-BWALK,00:00:00,GARAGE,00:00:00,08:58:00,07:30:00,01:28:00
PZ1/59,007059,15:13:00,15:36:00,C1/C2-ASTONQ,17:40:00,C1/C2-BWALK,18:45:00,18:45:00,C1/C2-ASTONQ,23:30:00,GARAGE,23:30:00,08:17:00,07:12:00,01:05:00
PZ1/60,007060,15:16:00,15:39:00,39A-BWALK,19:41:00,39A-BWALK,21:15:00,21:15:00,39A-BWALK,00:10:00,GARAGE,00:10:00,08:54:00,07:20:00,01:34:00
PZ1/61,007061,15:27:00,15:50:00,39-ASTONQ,19:05:00,39-BWALK,20:53:00,20:53:00,39-BWALK,01:13:00,GARAGE,01:13:00,09:46:00,07:58:00,01:48:00
PZ1/62,007062,15:34:00,15:57:00,39A-ASTONQ,20:10:00,39A-ASTONQ,21:20:00,21:20:00,39A-BWALK,00:25:00,GARAGE,00:25:00,08:51:00,07:41:00,01:10:00
PZ1/63,007063,15:41:00,16:04:00,39A-ASTONQ,20:25:00,39A-ASTONQ,21:22:00,21:45:00,GARAGE,01:25:00,GARAGE,01:25:00,09:44:00,08:47:00,00:57:00
PZ1/64,007064,15:42:00,16:05:00,C1/C2-BWALK,19:27:00,C1/C2-BWALK,20:25:00,20:25:00,39A-ASTONQ,01:20:00,GARAGE,01:20:00,09:38:00,08:40:00,00:58:00
PZ1/65,007065,15:44:00,16:07:00,C1/C2-ASTONQ,19:38:00,C1/C2-ASTONQ,20:33:00,20:33:00,39-BWALK,00:43:00,GARAGE,00:43:00,08:59:00,08:04:00,00:55:00
PZ1/66,007066,15:46:00,16:09:00,C1/C2-BWALK,19:42:00,C1/C2-BWALK,20:45:00,20:45:00,39A-BWALK,01:15:00,GARAGE,01:15:00,09:29:00,08:26:00,01:03:00
PZ1/67,007067,15:47:00,16:10:00,39A-BWALK,20:25:00,39A-BWALK,21:35:00,21:35:00,39A-BWALK,00:45:00,GARAGE,00:45:00,08:58:00,07:48:00,01:10:00
PZ1/68,007068,15:52:00,16:15:00,39-BWALK,17:25:00,39-ASTONQ,19:05:00,19:05:00,39-BWALK,23:55:00,GARAGE,23:55:00,08:03:00,06:23:00,01:40:00
PZ1/69,007069,15:54:00,16:17:00,39A-BWALK,17:52:00,39A-ASTONQ,19:25:00,19:25:00,39-ASTONQ,00:30:00,GARAGE,00:30:00,08:36:00,07:03:00,01:33:00
PZ1/70,007070,16:06:00,16:29:00,39A-BWALK,18:04:00,39A-ASTONQ,19:35:00,19:35:00,39-BWALK,00:20:00,GARAGE,00:20:00,08:14:00,06:43:00,01:31:00
PZ1/71,007071,16:22:00,16:45:00,C1/C2-ASTONQ,19:02:00,C1/C2-BWALK,20:10:00,20:10:00,39A-ASTONQ,01:05:00,GARAGE,01:05:00,08:43:00,07:35:00,01:08:00
PZ1/72,007072,16:24:00,16:47:00,39A-ASTONQ,19:29:00,39A-BWALK,20:25:00,20:25:00,39A-BWALK,00:55:00,GARAGE,00:55:00,08:31:00,07:35:00,00:56:00
PZ1/73,007073,17:05:00,17:08:00,GARAGE,18:33:00,39A-ASTONQ,19:55:00,19:55:00,39-ASTONQ,01:00:00,GARAGE,01:00:00,07:55:00,06:33:00,01:22:00
PZ1/1X,007151,07:47:00,08:10:00,39A-ASTONQ,11:40:00,39A-ASTONQ,12:40:00,12:40:00,39A-ASTONQ,16:47:00,39A-ASTONQ,17:07:00,09:20:00,08:20:00,01:00:00
PZ1/2X,007152,08:02:00,08:25:00,39A-BWALK,13:04:00,39A-ASTONQ,14:25:00,14:25:00,39-ASTONQ,17:40:00,39-BWALK,18:00:00,09:58:00,08:37:00,01:21:00
PZ1/3X,007153,08:31:00,08:39:00,GARAGE,11:52:00,39A-ASTONQ,15:40:00,15:40:00,39A-ASTONQ,18:00:00,GARAGE,18:00:00,09:29:00,05:41:00,03:48:00
PZ1/4X,007154,08:37:00,09:00:00,39A-BWALK,13:52:00,39A-ASTONQ,17:10:00,17:10:00,39-BWALK,18:25:00,39-ASTONQ,18:45:00,10:08:00,06:50:00,03:18:00
PZ1/5X,007155,08:53:00,09:01:00,GARAGE,13:59:00,39A-ASTONQ,17:34:00,17:34:00,39A-BWALK,19:18:00,GARAGE,19:18:00,10:25:00,06:50:00,03:35:00
PZ1/6X,007156,08:56:00,09:19:00,C1/C2-ASTONQ,12:37:00,C1/C2-ASTONQ,13:52:00,13:52:00,39A-ASTONQ,18:18:00,39A-ASTONQ,18:38:00,09:42:00,08:27:00,01:15:00
PZ1/7X,007157,09:17:00,09:25:00,GARAGE,12:25:00,39-ASTONQ,13:27:00,13:27:00,39A-BWALK,17:46:00,39A-BWALK,18:06:00,08:49:00,07:47:00,01:02:00
PZ1/8X,007158,09:24:00,09:47:00,39A-ASTONQ,13:45:00,39A-ASTONQ,15:44:00,15:44:00,C1/C2-BWALK,17:06:00,C1/C2-ASTONQ,17:26:00,08:02:00,06:03:00,01:59:00
PZ1/9X,007159,09:29:00,09:37:00,GARAGE,13:15:00,39A-BWALK,14:55:00,14:55:00,39-ASTONQ,19:25:00,39-ASTONQ,19:45:00,10:16:00,08:36:00,01:40:00
PZ1/10X,007160,09:24:00,09:32:00,GARAGE,12:40:00,39A-ASTONQ,13:59:00,13:59:00,39A-ASTONQ,18:45:00,39A-ASTONQ,19:05:00,09:41:00,08:22:00,01:19:00
PZ1/11X,007161,09:26:00,09:49:00,C1/C2-ASTONQ,11:45:00,C1/C2-BWALK,13:14:00,13:14:00,C1/C2-BWALK,18:07:00,C1/C2-ASTONQ,18:27:00,09:01:00,07:32:00,01:29:00
PZ1/12X,007162,09:41:00,09:49:00,GARAGE,13:27:00,39A-BWALK,15:15:00,15:15:00,39A-BWALK,19:22:00,39A-BWALK,19:42:00,10:01:00,08:13:00,01:48:00
PZ1/13X,007163,10:00:00,10:08:00,GARAGE,13:16:00,39A-ASTONQ,15:25:00,15:25:00,39-BWALK,19:35:00,39-BWALK,19:55:00,09:55:00,07:46:00,02:09:00
PZ1/14X,007164,10:28:00,10:36:00,GARAGE,15:44:00,C1/C2-BWALK,17:52:00,17:52:00,39A-ASTONQ,20:00:00,GARAGE,20:00:00,09:32:00,07:24:00,02:08:00
PZ1/91,007091,18:10:00,18:33:00,39A-ASTONQ,22:20:00,39A-ASTONQ,00:15:00,00:15:00,39A-BWALK,03:10:00,39A-BWALK,03:30:00,09:20:00,07:25:00,01:55:00
PZ1/92,007092,18:39:00,19:02:00,C1/C2-BWALK,21:50:00,GARAGE,23:17:00,23:20:00,GARAGE,02:00:00,39A-ASTONQ,02:20:00,07:41:00,06:14:00,01:27:00
PZ1/93,007093,18:59:00,19:22:00,39A-BWALK,22:30:00,GARAGE,00:05:00,00:25:00,39A-ASTONQ,03:30:00,39A-ASTONQ,03:50:00,08:51:00,07:16:00,01:35:00
PZ1/94,007094,19:18:00,19:41:00,39A-BWALK,00:25:00,39A-ASTONQ,02:30:00,02:30:00,39A-ASTONQ,05:15:00,GARAGE,05:15:00,09:57:00,07:52:00,02:05:00
PZ1/95,007095,20:12:00,20:35:00,39A-BWALK,01:00:00,39A-ASTONQ,03:10:00,03:10:00,39A-BWALK,05:45:00,GARAGE,05:45:00,09:33:00,07:23:00,02:10:00
PZ1/96,007096,20:45:00,20:48:00,GARAGE,23:40:00,GARAGE,00:40:00,01:00:00,39A-ASTONQ,05:30:00,GARAGE,05:30:00,08:45:00,07:45:00,01:00:00
PZ1/97,007097,20:52:00,21:15:00,39A-ASTONQ,23:15:00,GARAGE,00:27:00,00:30:00,GARAGE,05:45:00,GARAGE,05:45:00,08:53:00,07:41:00,01:12:00
PZ1/98,007098,21:42:00,22:05:00,39A-BWALK,02:30:00,39A-ASTONQ,03:30:00,03:30:00,39A-ASTONQ,06:15:00,GARAGE,06:15:00,08:33:00,07:33:00,01:00:00
PZ1/99,007099,21:57:00,22:20:00,39A-ASTONQ,00:15:00,39A-BWALK,02:00:00,02:00:00,39A-ASTONQ,06:15:00,GARAGE,06:15:00,08:18:00,06:33:00,01:45:00
