shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
DZ1/43,043,12:19:00,12:50:00,Eden Quay,16:30:00,Eden Quay,17:25:00,17:25:00,Eden Quay,21:25:00,Eden Quay,21:53:00,09:34:00,08:39:00,00:55:00
DZ1/44,044,12:32:00,13:03:00,B Walk,15:27:00,B Walk,16:39:00,16:39:00,B Walk,21:15:00,B Walk,21:43:00,09:11:00,07:59:00,01:12:00
DZ1/45,045,12:34:00,13:05:00,Eden Quay,16:35:00,Eden Quay,17:30:00,17:30:00,Hawkins Street,21:10:00,Hawkins Street,21:38:00,09:04:00,08:09:00,00:55:00
DZ1/46,046,12:38:00,13:09:00,Aston Q,18:21:00,Aston Q,19:25:00,19:25:00,Eden Quay,20:55:00,Hawkins Street,21:23:00,08:45:00,07:41:00,01:04:00
DZ1/47,047,12:44:00,13:15:00,Eden Quay,16:45:00,Eden Quay,17:40:00,17:40:00,Hawkins Street,21:25:00,Hawkins Street,21:53:00,09:09:00,08:14:00,00:55:00
DZ1/48,048,12:44:00,13:15:00,Hawkins Street,17:00:00,Hawkins Street,17:55:00,17:55:00,Hawkins Street,21:40:00,Hawkins Street,22:08:00,09:24:00,08:29:00,00:55:00
DZ1/49,049,12:54:00,13:25:00,Eden Quay,17:10:00,Eden Quay,18:35:00,18:35:00,PSQE,21:20:00,PSQE,21:50:00,08:56:00,07:31:00,01:25:00
DZ1/50,050,13:28:00,13:57:00,Aston Q,17:15:00,B Walk,18:10:00,18:10:00,PSQW,21:50:00,PSQE,22:20:00,08:54:00,07:59:00,00:55:00
DZ1/51,051,14:12:00,14:15:00,Garage,15:45:00,Hawkins Street,16:43:00,16:43:00,Aston Q,21:55:00,B Walk,22:23:00,08:11:00,07:13:00,00:58:00
DZ1/52,052,14:44:00,15:15:00,Hawkins Street,20:00:00,Hawkins Street,21:10:00,21:10:00,Hawkins Street,00:05:00,Garage,00:05:00,09:21:00,08:11:00,01:10:00
DZ1/53,053,14:47:00,15:20:00,PSQE,18:10:00,PSQW,19:30:00,19:30:00,PSQE,00:35:00,Garage,00:35:00,09:48:00,08:28:00,01:20:00
DZ1/54,054,14:56:00,15:27:00,B Walk,19:45:00,Aston Q,20:40:00,20:40:00,Hawkins Street,23:35:00,Garage,23:35:00,08:39:00,07:44:00,00:55:00
DZ1/55,055,15:04:00,15:35:00,Eden Quay,17:30:00,Hawkins Street,18:51:00,18:51:00,B Walk,00:00:00,Garage,00:00:00,08:56:00,07:35:00,01:21:00
DZ1/56,056,15:05:00,15:08:00,Garage,18:51:00,B Walk,20:00:00,20:00:00,Aston Q,00:52:00,Garage,00:52:00,09:47:00,08:38:00,01:09:00
DZ1/57,057,15:14:00,15:45:00,Hawkins Street,18:10:00,Eden Quay,19:45:00,19:45:00,Aston Q,00:32:00,Garage,00:32:00,09:18:00,07:43:00,01:35:00
DZ1/58,058,15:17:00,15:20:00,Garage,20:15:00,Garage,21:27:00,21:55:00,B Walk,00:12:00,Garage,00:12:00,08:55:00,07:43:00,01:12:00
DZ1/59,059,15:22:00,15:55:00,PSQE,19:30:00,PSQE,20:25:00,20:25:00,Eden Quay,00:58:00,Garage,00:58:00,09:36:00,08:41:00,00:55:00
DZ1/60,060,15:27:00,15:30:00,Garage,19:43:00,Garage,20:57:00,21:25:00,Eden Quay,00:20:00,Garage,00:20:00,08:53:00,07:39:00,01:14:00
DZ1/61,061,15:27:00,16:00:00,PSQE,20:20:00,PSQE,21:15:00,21:15:00,B Walk,00:20:00,Garage,00:20:00,08:53:00,07:58:00,00:55:00
DZ1/62,062,15:29:00,16:00:00,Eden Quay,17:55:00,Hawkins Street,19:05:00,19:05:00,PSQW,00:12:00,Garage,00:12:00,08:43:00,07:33:00,01:10:00
DZ1/63,063,15:43:00,16:14:00,Aston Q,18:57:00,Aston Q,20:00:00,20:00:00,Hawkins Street,00:39:00,Garage,00:39:00,08:56:00,07:53:00,01:03:00
DZ1/64,064,15:47:00,15:50:00,Garage,19:05:00,PSQW,20:20:00,20:20:00,PSQE,00:42:00,Garage,00:42:00,08:55:00,07:40:00,01:15:00
DZ1/65,065,16:04:00,16:35:00,Eden Quay,20:25:00,Eden Quay,21:20:00,21:20:00,PSQE,00:15:00,Garage,00:15:00,08:11:00,07:16:00,00:55:00
DZ1/66,066,16:07:00,16:10:00,Garage,20:12:00,Garage,21:20:00,21:50:00,PSQE,00:29:00,Garage,00:29:00,08:22:00,07:14:00,01:08:00
DZ1/67,067,16:10:00,16:13:00,Garage,20:00:00,Aston Q,20:55:00,20:55:00,Hawkins Street,01:04:00,Garage,01:04:00,08:54:00,07:59:00,00:55:00
DZ1/68,068,16:14:00,16:45:00,Eden Quay,20:35:00,Eden Quay,21:35:00,21:35:00,B Walk,00:40:00,Garage,00:40:00,08:26:00,07:26:00,01:00:00
DZ1/69,069,16:22:00,16:25:00,Garage,19:25:00,Eden Quay,20:35:00,20:35:00,Eden Quay,01:13:00,Garage,01:13:00,08:51:00,07:41:00,01:10:00
